area_id,name,sequence,vertex_id,raw_lat,raw_lon,latitude,longitude,upper_limit,lower_limit,airspace_class,authority_status,source_name,source_url,notes
JEJU_TMA_T23,Jeju Terminal Control Area T23,1,JEJU_TMA_T23_V01,330012N,1255953E,33.003333,125.998056,FL 165,1 000 ft AGL,B/D/E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,ENR 2.1 lower limit note: 1 000 ft AMSL over territorial waters and 5 500 ft AMSL over high seas.
JEJU_TMA_T23,Jeju Terminal Control Area T23,2,JEJU_TMA_T23_V02,341511N,1255953E,34.253056,125.998056,FL 165,1 000 ft AGL,B/D/E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,ENR 2.1 lower limit note: 1 000 ft AMSL over territorial waters and 5 500 ft AMSL over high seas.
JEJU_TMA_T23,Jeju Terminal Control Area T23,3,JEJU_TMA_T23_V03,341512N,1271953E,34.253333,127.331389,FL 165,1 000 ft AGL,B/D/E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,ENR 2.1 lower limit note: 1 000 ft AMSL over territorial waters and 5 500 ft AMSL over high seas.
JEJU_TMA_T23,Jeju Terminal Control Area T23,4,JEJU_TMA_T23_V04,331612N,1271953E,33.270000,127.331389,FL 165,1 000 ft AGL,B/D/E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,ENR 2.1 lower limit note: 1 000 ft AMSL over territorial waters and 5 500 ft AMSL over high seas.
JEJU_TMA_T23,Jeju Terminal Control Area T23,5,JEJU_TMA_T23_V05,330012N,1265953E,33.003333,126.998056,FL 165,1 000 ft AGL,B/D/E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,ENR 2.1 lower limit note: 1 000 ft AMSL over territorial waters and 5 500 ft AMSL over high seas.
JEJU_TMA_T43,Jeju Terminal Control Area T43,1,JEJU_TMA_T43_V01,330012N,1254953E,33.003333,125.831389,FL 165,6 000 ft AMSL,E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,West-side adjoining Jeju TMA block from ENR 2.1.
JEJU_TMA_T43,Jeju Terminal Control Area T43,2,JEJU_TMA_T43_V02,341511N,1254953E,34.253056,125.831389,FL 165,6 000 ft AMSL,E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,West-side adjoining Jeju TMA block from ENR 2.1.
JEJU_TMA_T43,Jeju Terminal Control Area T43,3,JEJU_TMA_T43_V03,341511N,1255953E,34.253056,125.998056,FL 165,6 000 ft AMSL,E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,West-side adjoining Jeju TMA block from ENR 2.1.
JEJU_TMA_T43,Jeju Terminal Control Area T43,4,JEJU_TMA_T43_V04,330012N,1255953E,33.003333,125.998056,FL 165,6 000 ft AMSL,E,coordinate_verified,Official eAIP ENR 2.1,https://aim.koca.go.kr/eaipPub/Package/2026-02-18-AIRAC/html/eAIP/KR-ENR-2.1-en-GB.html,West-side adjoining Jeju TMA block from ENR 2.1.
