fix_id,category,raw_coordinate,latitude,longitude,authority_status,used_by_rwy07_star,used_by_rwy25_star,used_by_rwy07_sid,used_by_rwy25_sid,used_by_rwy31_sid,source_file,source_section,notes
PC762,procedure_fix,"33°57'56.9""N 126°49'10.5""E",33.965806,126.819583,coordinate_verified,,RNAV_DOTOL_2M,,,,public_derived_training_dataset,RNAV DOTOL 2M coding table,
PC763,procedure_fix,"34°03'22.6""N 127°00'43.6""E",34.056278,127.012111,coordinate_verified,,RNAV_UPGOS_2M,,,,public_derived_training_dataset,RNAV UPGOS 2M coding table,
PC764,procedure_fix,"33°24'50.2""N 126°51'37.6""E",33.413944,126.860444,coordinate_verified,,RNAV_TAMNA_2M,,,,public_derived_training_dataset,RNAV TAMNA 2M coding table,
PC765,procedure_fix,"33°32'19.6""N 126°23'42.6""E",33.538778,126.395167,coordinate_verified,,RNAV_LIMDI_2M,,,,public_derived_training_dataset,RNAV LIMDI 2M coding table,
PC767,procedure_fix,"33°52'52.52""N 126°51'23.2""E",33.881256,126.856444,coordinate_verified,,RNAV_TAMNA_2M | RNAV_TOSAN_2M | RNAV_SOSDO_2M | RNAV_LIMDI_2M,,,,public_derived_training_dataset,RNAV TAMNA 2M / TOSAN 2M / SOSDO 2M / LIMDI 2M coding table,
PC811,procedure_fix,"33°42'12.1""N 126°42'48.8""E",33.703361,126.713556,coordinate_verified,,,RNAV_KAMIT_2E,,,public_derived_training_dataset,RNAV KAMIT 2E coding table,
PC813,procedure_fix,"33°29'55.5""N 126°50'50.0""E",33.49875,126.847222,coordinate_verified,,,RNAV_PANSI_2E | RNAV_LIMDI_1E,,,public_derived_training_dataset,RNAV PANSI 2E / LIMDI 1E coding tables,
PC814,procedure_fix,"33°15'36.4""N 126°29'13.5""E",33.260111,126.487083,coordinate_verified,,,RNAV_PANSI_2E,,,public_derived_training_dataset,RNAV PANSI 2E coding table,
PC816,procedure_fix,"33°26'56.5""N 126°19'30.8""E",33.449028,126.325222,coordinate_verified,,,RNAV_LIMDI_1E,,,public_derived_training_dataset,RNAV LIMDI 1E coding table,
PC832,procedure_fix,"33°40'46.0""N 126°13'51.9""E",33.679444,126.231083,coordinate_verified,,,,RNAV_KAMIT_1W | RNAV_IPDAS_1W,,public_derived_training_dataset,RNAV KAMIT 1W / IPDAS 1W coding table,
PC833,procedure_fix,"33°50'08.8""N 126°30'44.8""E",33.835778,126.512444,coordinate_verified,,,,RNAV_KAMIT_1W | RNAV_IPDAS_1W,,public_derived_training_dataset,RNAV KAMIT 1W / IPDAS 1W coding table,
PC834,procedure_fix,"33°55'46.2""N 126°40'55.7""E",33.9295,126.682139,coordinate_verified,,,,RNAV_IPDAS_1W,,public_derived_training_dataset,RNAV IPDAS 1W coding table,
PC841,procedure_fix,"33°25'42.7""N 126°19'47.8""E",33.428528,126.329944,coordinate_verified,,,,RNAV_AKPON_1W | RNAV_TAMNA_3W | RNAV_PANSI_2W,,public_derived_training_dataset,RNAV AKPON 1W / PANSI 2W coding table,
PC842,procedure_fix,"33°17'38.3""N 126°21'17.3""E",33.293972,126.354806,coordinate_verified,,,,RNAV_AKPON_1W | RNAV_TAMNA_3W,,public_derived_training_dataset,RNAV AKPON 1W coding table,
PC845,procedure_fix,"33°25'03.2""N 126°53'24.0""E",33.417556,126.89,coordinate_verified,,,,RNAV_TAMNA_3W,,public_derived_training_dataset,RNAV TAMNA 3W coding table,
PC846,procedure_fix,"33°19'15.6""N 126°35'28.6""E",33.321,126.591278,coordinate_verified,,,,RNAV_AKPON_1W | RNAV_TAMNA_3W,,public_derived_training_dataset,RNAV AKPON 1W coding table,
PC861,procedure_fix,"33°33'43.8""N 126°24'34.1""E",33.562167,126.409472,coordinate_verified,,,,,RNAV_KAMIT_2N | RNAV_AKPON_1N,https://aim.koca.go.kr/eaipPub/Package/2026-04-30/pdf/AD/RKPC/%282-12%29%20SID.pdf,RKPC AD CHART 2-16-1 RNAV KAMIT 2N / AKPON 1N coding table,"RWY31 SID waypoint, displayed/used under simulator RWY25+31 mode."
PC871,procedure_fix,"33°39'05.3""N 126°24'32.0""E",33.651472,126.408889,coordinate_verified,,,,,RNAV_KAMIT_2N | RNAV_AKPON_1N,https://aim.koca.go.kr/eaipPub/Package/2026-04-30/pdf/AD/RKPC/%282-12%29%20SID.pdf,RKPC AD CHART 2-16-1 RNAV KAMIT 2N / AKPON 1N coding table,"RWY31 SID waypoint, displayed/used under simulator RWY25+31 mode."
PC872,procedure_fix,"33°43'16.9""N 126°31'18.7""E",33.721361,126.521861,coordinate_verified,,,,,RNAV_KAMIT_2N | RNAV_AKPON_1N,https://aim.koca.go.kr/eaipPub/Package/2026-04-30/pdf/AD/RKPC/%282-12%29%20SID.pdf,RKPC AD CHART 2-16-1 RNAV KAMIT 2N / AKPON 1N coding table,"RWY31 SID waypoint, displayed/used under simulator RWY25+31 mode."
PC874,procedure_fix,"33°48'38.0""N 127°11'08.8""E",33.810556,127.185778,coordinate_verified,,,,,RNAV_AKPON_1N,https://aim.koca.go.kr/eaipPub/Package/2026-04-30/pdf/AD/RKPC/%282-12%29%20SID.pdf,RKPC AD CHART 2-16-1 RNAV AKPON 1N coding table,"RWY31 SID waypoint, displayed/used under simulator RWY25+31 mode."
PIMIK,procedure_fix,"33°15'26.4""N 125°58'50.7""E",33.257333,125.98075,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
RKPC_ARP,airport_reference,333044N 1262934E,33.512222,126.492778,coordinate_verified,,,,,,public_derived_training_dataset,"RKPC AD 2.2, AD 2.12",
RWY07_THR,runway_threshold,332959.57N 1262806.50E,33.499881,126.468472,coordinate_verified,,,,,,public_derived_training_dataset,RKPC AD 2.12 RUNWAY PHYSICAL CHARACTERISTICS,
RWY25_THR,runway_threshold,333053.56N 1262951.51E,33.514878,126.497642,coordinate_verified,,,,,,public_derived_training_dataset,RKPC AD 2.12 RUNWAY PHYSICAL CHARACTERISTICS,
SOSDO,procedure_fix,"33°00'12.0""N 126°27'35.0""E",33.003333,126.459722,coordinate_verified,RNAV_SOSDO_2P,RNAV_SOSDO_2M,,,,public_derived_training_dataset,RNAV SOSDO 2P / SOSDO 2M coding table,
TAMNA,procedure_fix,"33°28'15.5""N 127°19'53.0""E",33.470972,127.331389,coordinate_verified,RNAV_TAMNA_2P,RNAV_TAMNA_2M,RNAV_TAMNA_2E | TAMNA_2K,RNAV_TAMNA_3W,,public_derived_training_dataset,RNAV TAMNA 2E / TAMNA 3W coding table,
TOREN,procedure_fix,"33°48'36.8""N 126°39'57.7""E",33.810222,126.666028,coordinate_verified,,,,,RNAV_KAMIT_2N | RNAV_AKPON_1N,https://aim.koca.go.kr/eaipPub/Package/2026-04-30/pdf/AD/RKPC/%282-12%29%20SID.pdf,RKPC AD CHART 2-16-1 RNAV KAMIT 2N / AKPON 1N coding table,"RWY31 SID waypoint, displayed/used under simulator RWY25+31 mode."
TOSAN,procedure_fix,"33°00'12.0""N 126°46'18.7""E",33.003333,126.771861,coordinate_verified,RNAV_TOSAN_2P,RNAV_TOSAN_2M,,,,public_derived_training_dataset,RNAV TOSAN 2P / TOSAN 2M coding table,
UPGOS,procedure_fix,"33°57'33.3""N 127°19'53.0""E",33.95925,127.331389,coordinate_verified,RNAV_UPGOS_1P,RNAV_UPGOS_2M,,,,public_derived_training_dataset,RNAV UPGOS 1P coding table,
VEKDI,procedure_fix,"33°57'22.6""N 126°55'08.8""E",33.956278,126.919111,coordinate_verified,,RNAV_DOTOL_2M,,,,public_derived_training_dataset,RNAV DOTOL 2M coding table,
YDM,navaid,333041.3N 1262915.4E,33.511472,126.487611,coordinate_verified,,,IPDAS_4K | MAKET_4K | TAMNA_2K | CJU_5K,CJU_3L | IPDAS_1L,,public_derived_training_dataset,RKPC AD 2.19 RADIO NAVIGATION AND LANDING AIDS,
YUMIN,procedure_fix,"33°27'25.7""N 126°13'15.5""E",33.457139,126.220972,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
